,sub_num,age,block,planet_num,stay_num,stay?,galaxy,prior_galaxy,num_in_gal,true_planet,rt,zlog_rt,planet_n_norm,switch,age_group,agez
1,151,17.29,4,41,1,1,0,2,0,69,138.3,-0.12737852519416507,1.6940103840973173,switch,adolescent,0.006380406039766093
1,151,17.29,4,42,1,0,0,2,1,70,37.5,-1.0585230297433361,1.7747505472005982,no_switch,adolescent,0.006380406039766093
1,152,10.63,1,0,1,1,0,100,0,0,319.8,-0.1595291868343355,-1.7705768892127907,no_switch,child,-1.2624329585584944
1,152,10.63,1,1,1,1,0,100,1,1,127.4000001,-1.0542871472563933,-1.6859724667576026,no_switch,child,-1.2624329585584944
1,152,10.63,1,2,1,0,1,0,0,2,2402.6,1.8009762234106532,-1.6013680443024145,switch,child,-1.2624329585584944
1,152,10.63,1,3,1,1,1,0,1,3,620.7,0.48517286571668267,-1.5167636218472265,no_switch,child,-1.2624329585584944
1,152,10.63,1,4,1,1,1,0,2,4,166.4000001,-0.7946545038607079,-1.4321591993920384,no_switch,child,-1.2624329585584944
1,152,10.63,1,5,1,1,2,1,0,5,158.5999999,-0.8413280259742906,-1.3475547769368503,switch,child,-1.2624329585584944
1,152,10.63,1,6,1,1,2,1,1,6,355.2,-0.05746484353930425,-1.2629503544816623,no_switch,child,-1.2624329585584944
1,152,10.63,1,7,1,1,2,1,2,7,877.9000001,0.8222123220498024,-1.1783459320264742,no_switch,child,-1.2624329585584944
1,152,10.63,1,8,1,1,0,2,0,8,3.200000048,-4.635967876547393,-1.0937415095712864,switch,child,-1.2624329585584944
1,152,10.63,1,9,1,0,0,2,1,9,619.7,0.4836053415197413,-1.0091370871160983,no_switch,child,-1.2624329585584944
1,152,10.63,2,11,1,0,0,0,3,20,129.0,-1.042153720054139,-0.8399282422057222,no_switch,child,-1.2624329585584944
1,152,10.63,2,12,1,0,0,0,4,21,164.2,-0.8075935475402409,-0.7553238197505341,no_switch,child,-1.2624329585584944
1,152,10.63,2,13,1,0,0,0,5,22,895.4000001,0.8414010352006068,-0.670719397295346,no_switch,child,-1.2624329585584944
1,152,10.63,2,14,1,1,2,0,0,23,281.8,-0.2825079923074396,-0.5861149748401581,switch,child,-1.2624329585584944
1,152,10.63,2,15,1,1,2,0,1,24,14.29999995,-3.180511282457642,-0.50151055238497,no_switch,child,-1.2624329585584944
1,152,10.63,2,16,1,1,2,0,2,25,316.4000001,-0.16992037695899306,-0.41690612992978193,no_switch,child,-1.2624329585584944
1,152,10.63,2,17,1,1,2,0,3,26,469.5999999,0.21396758682156977,-0.3323017074745939,no_switch,child,-1.2624329585584944
1,152,10.63,2,18,1,1,2,0,4,27,277.5,-0.2974568535327926,-0.24769728501940586,no_switch,child,-1.2624329585584944
1,152,10.63,2,19,1,1,1,2,0,28,319.9000001,-0.15922523833464275,-0.16309286256421782,switch,child,-1.2624329585584944
1,152,10.63,2,20,1,1,2,1,0,29,499.5999999,0.2741711955678323,-0.07848844010902979,switch,child,-1.2624329585584944
1,152,10.63,3,21,1,1,1,2,0,40,519.8,0.31270478910198496,0.006115982346158248,switch,child,-1.2624329585584944
1,152,10.63,3,22,1,1,2,1,0,41,362.4000001,-0.03795559401296519,0.09072040480134629,switch,child,-1.2624329585584944
1,152,10.63,3,23,1,1,1,2,0,42,385.1000001,0.021108579854978077,0.17532482725653434,switch,child,-1.2624329585584944
1,152,10.63,3,24,1,1,1,2,1,43,335.0,-0.11438634874718374,0.2599292497117224,no_switch,child,-1.2624329585584944
1,152,10.63,3,25,1,0,1,2,2,44,728.2,0.640456826783839,0.3445336721669104,no_switch,child,-1.2624329585584944
1,152,10.63,3,26,1,1,1,2,3,45,316.0999999,-0.1708426021137868,0.42913809462209845,no_switch,child,-1.2624329585584944
1,152,10.63,3,27,1,1,2,1,0,46,119.2,-1.1189651867220916,0.5137425170772865,switch,child,-1.2624329585584944
1,152,10.63,3,28,1,1,2,1,1,47,721.3000002,0.631201110028888,0.5983469395324745,no_switch,child,-1.2624329585584944
1,152,10.63,3,29,1,1,1,2,0,48,357.8,-0.050374591717885976,0.6829513619876626,switch,child,-1.2624329585584944
1,152,10.63,3,30,1,1,1,2,1,49,305.0999999,-0.2052762119361994,0.7675557844428506,no_switch,child,-1.2624329585584944
1,152,10.63,4,31,1,1,0,1,0,60,2.400000095,-4.9156461197266825,0.8521602068980386,switch,child,-1.2624329585584944
1,152,10.63,4,32,1,0,0,1,1,61,968.0999999,0.9172939800112591,0.9367646293532267,no_switch,child,-1.2624329585584944
1,152,10.63,4,33,1,0,0,1,2,62,815.7,0.7507707774661997,1.0213690518084146,no_switch,child,-1.2624329585584944
1,152,10.63,4,34,1,1,2,0,0,63,207.8999999,-0.5781866931624899,1.1059734742636027,switch,child,-1.2624329585584944
